Comuna,N_total,N_Emergencia,Pct_Emergencia,F1_Macro,Recall_Emerg,Precis_Emerg,F1_Emerg,FN_Emerg
01,260,122,46.9,0.5033,0.8852,0.8438,0.864,14
22,260,125,48.1,0.4963,0.88,0.8271,0.8527,15
17,260,137,52.7,0.4837,0.8832,0.8121,0.8462,16
02,260,126,48.5,0.4765,0.873,0.8462,0.8594,16
08,260,142,54.6,0.4631,0.9155,0.7784,0.8414,12
03,260,141,54.2,0.4541,0.9078,0.8101,0.8562,13
13,260,140,53.8,0.4501,0.8929,0.7716,0.8278,15
04,260,135,51.9,0.4452,0.8741,0.8194,0.8459,17
05,260,135,51.9,0.4399,0.8741,0.7712,0.8194,17
20,260,122,46.9,0.4374,0.8689,0.7852,0.8249,16
18,260,133,51.2,0.4371,0.8722,0.8112,0.8406,17
12,260,151,58.1,0.4362,0.9139,0.8214,0.8652,13
10,260,136,52.3,0.4279,0.9118,0.7607,0.8294,12
19,260,133,51.2,0.4256,0.8947,0.7829,0.8351,14
14,260,130,50.0,0.424,0.9,0.7222,0.8014,13
06,260,137,52.7,0.4108,0.9051,0.775,0.835,13
09,260,149,57.3,0.4103,0.906,0.7988,0.8491,14
07,260,134,51.5,0.4085,0.8806,0.7468,0.8082,16
16,260,147,56.5,0.3943,0.8776,0.7914,0.8323,18
15,260,144,55.4,0.3873,0.8819,0.7605,0.8167,17
21,260,142,54.6,0.3745,0.8873,0.773,0.8262,16
11,260,143,55.0,0.3671,0.9441,0.7941,0.8626,8
