,shap_importancia
tasa_eb_100000_min_4w,0.5974702
tasa_eb_100000_mean_6w,0.5187816
tasa_eb_100000_lag2,0.33258817
epi_week_number,0.3008753
tasa_eb_100000_min_6w,0.2428649
tasa_eb_100000_lag6,0.1893847
tasa_eb_100000_lag3,0.18403137
tasa_eb_100000_lag7,0.1701106
tasa_eb_100000_max_6w,0.14095777
tasa_eb_100000_lag4,0.13917452
tasa_eb_100000_mean_4w,0.13742207
humidity_sd_6w,0.12145262
estres_hidrico_lag4,0.060346194
precip_fore_lag4,0.056912307
windspeed_sd_4w,0.05549066
estres_hidrico_lag5,0.053020094
tmax_fore_sd_4w,0.051284544
ndwi_lag5,0.049318466
tasa_eb_100000_lag5,0.04893691
precip_fore_lag7,0.044991247
ndwi_lag6,0.04299776
precip_fore_sd_4w,0.042575985
humidity_sd_4w,0.042418413
ndvi_lag7,0.04204031
ndwi_lag4,0.039999437
precip_fore_lag5,0.039373003
tasa_eb_100000_sum_6w,0.03902837
ndwi_lag3,0.03891946
ndwi_sd_6w,0.03706196
estres_hidrico_lag2,0.036790412
estres_hidrico,0.036692545
tasa_eb_100000_sd_4w,0.03625297
ndwi_lag7,0.035979014
estres_hidrico_lag7,0.035517804
estres_hidrico_min_6w,0.035413228
estres_hidrico_lag3,0.03534214
amplitud_termica_sd_4w,0.034115706
ndvi_sd_4w,0.0315898
amplitud_termica,0.031558692
tmax_fore_sd_6w,0.030389046
precip_fore_lag2,0.030263573
estres_hidrico_sd_6w,0.02937383
racha_precip_then_tmax_6w,0.029182928
humidity_lag6,0.02882484
amplitud_termica_lag7,0.028421635
precip_fore,0.028324028
tasa_eb_100000_max_4w,0.028299185
amplitud_termica_lag6,0.028242813
precip_fore_max_4w,0.028150361
ndwi_lag2,0.02747051
ndwi,0.025906092
ndwi_max_4w,0.025836494
precip_fore_max_6w,0.023834724
precip_fore_min_6w,0.02359919
ndvi_min_6w,0.02342403
estres_hidrico_mean_4w,0.023286233
tmax_fore_lag5,0.023194743
precip_fore_min_4w,0.02312393
ndvi_lag4,0.022787303
windspeed,0.022401767
